Deleting each line of seed to set location bias.......................Done

Generation: 0
FibonacciSearchProblemTest_80 fit: 1.0
FibonacciSearchProblemTest_81 fit: 1.0
FibonacciSearchProblemTest_82 fit: 1.0
FibonacciSearchProblemTest_84 fit: 34900.0
FibonacciSearchProblemTest_85 fit: 1.0
FibonacciSearchProblemTest_86 fit: 1.0
FibonacciSearchProblemTest_87 fit: 1.0
FibonacciSearchProblemTest_88 fit: 1.0
FibonacciSearchProblemTest_89 fit: 1.0
FibonacciSearchProblemTest_90 fit: 34900.0
FibonacciSearchProblemTest_91 fit: 1.0
FibonacciSearchProblemTest_92 fit: 1.0
FibonacciSearchProblemTest_93 fit: 1.0
FibonacciSearchProblemTest_94 fit: 1.0
FibonacciSearchProblemTest_95 fit: 1.0
FibonacciSearchProblemTest_96 fit: 1.0
FibonacciSearchProblemTest_97 fit: 1.0
FibonacciSearchProblemTest_98 fit: 1.0
FibonacciSearchProblemTest_99 fit: 1.0
FibonacciSearchProblemTest_100 fit: 1.0
FibonacciSearchProblemTest_101 fit: 1.0
FibonacciSearchProblemTest_102 fit: 1.0
FibonacciSearchProblemTest_103 fit: 1.0
FibonacciSearchProblemTest_104 fit: 1.0
FibonacciSearchProblemTest_106 fit: 1.0
FibonacciSearchProblemTest_107 fit: 1.0
FibonacciSearchProblemTest_108 fit: 1.0
FibonacciSearchProblemTest_109 fit: 1.0
FibonacciSearchProblemTest_110 fit: 1.0
FibonacciSearchProblemTest_111 fit: 1.0
FibonacciSearchProblemTest_112 fit: 1.0
FibonacciSearchProblemTest_113 fit: 1.0
FibonacciSearchProblemTest_114 fit: 1.0
FibonacciSearchProblemTest_115 fit: 1.0
FibonacciSearchProblemTest_116 fit: 1.0
FibonacciSearchProblemTest_117 fit: 1.0
FibonacciSearchProblemTest_118 fit: 1.0
FibonacciSearchProblemTest_119 fit: 1.0
FibonacciSearchProblemTest_120 fit: 1.0
FibonacciSearchProblemTest_121 fit: 1.0
FibonacciSearchProblemTest_122 fit: 1.0
FibonacciSearchProblemTest_123 fit: 1.0
FibonacciSearchProblemTest_124 fit: 1.0
FibonacciSearchProblemTest_125 fit: 1.0
FibonacciSearchProblemTest_126 fit: 34900.0
FibonacciSearchProblemTest_127 fit: 1.0
FibonacciSearchProblemTest_128 fit: 1.0
FibonacciSearchProblemTest_129 fit: 1.0
FibonacciSearchProblemTest_130 fit: 1.0
FibonacciSearchProblemTest_131 fit: 1.0
FibonacciSearchProblemTest_132 fit: 1.0
FibonacciSearchProblemTest_133 fit: 1.0
FibonacciSearchProblemTest_134 fit: 1.0
FibonacciSearchProblemTest_135 fit: 1.0
FibonacciSearchProblemTest_136 fit: 1.0
FibonacciSearchProblemTest_137 fit: 1.0
FibonacciSearchProblemTest_138 fit: 1.0
Generation: 1
FibonacciSearchProblemTest_158 fit: 1.0
FibonacciSearchProblemTest_170 fit: 34900.0
FibonacciSearchProblemTest_169 fit: 100.57426
FibonacciSearchProblemTest_168 fit: 1.0
FibonacciSearchProblemTest_166 fit: 1.0
FibonacciSearchProblemTest_160 fit: 1.0
FibonacciSearchProblemTest_157 fit: 1.0
FibonacciSearchProblemTest_191 fit: 1.0
FibonacciSearchProblemTest_188 fit: 1.0
FibonacciSearchProblemTest_186 fit: 1.0
FibonacciSearchProblemTest_172 fit: 34900.0
FibonacciSearchProblemTest_175 fit: 34900.0
FibonacciSearchProblemTest_178 fit: 34900.0
FibonacciSearchProblemTest_180 fit: 34900.0
FibonacciSearchProblemTest_183 fit: 34900.0
FibonacciSearchProblemTest_184 fit: 34900.0
FibonacciSearchProblemTest_212 fit: 1.0
FibonacciSearchProblemTest_194 fit: 34900.0
FibonacciSearchProblemTest_196 fit: 34900.0
FibonacciSearchProblemTest_199 fit: 34900.0
FibonacciSearchProblemTest_201 fit: 34900.0
FibonacciSearchProblemTest_202 fit: 34900.0
FibonacciSearchProblemTest_205 fit: 34900.0
FibonacciSearchProblemTest_209 fit: 34900.0
FibonacciSearchProblemTest_229 fit: 6.5742574
FibonacciSearchProblemTest_228 fit: 10100.052
FibonacciSearchProblemTest_214 fit: 34900.0
FibonacciSearchProblemTest_225 fit: 1.0
FibonacciSearchProblemTest_223 fit: 1.0
FibonacciSearchProblemTest_221 fit: 4600.426
FibonacciSearchProblemTest_217 fit: 34900.0
FibonacciSearchProblemTest_219 fit: 34900.0
FibonacciSearchProblemTest_252 fit: 1.0
FibonacciSearchProblemTest_232 fit: 34900.0
FibonacciSearchProblemTest_234 fit: 34900.0
FibonacciSearchProblemTest_237 fit: 34900.0
FibonacciSearchProblemTest_239 fit: 34900.0
FibonacciSearchProblemTest_243 fit: 34900.0
FibonacciSearchProblemTest_240 fit: 34900.0
FibonacciSearchProblemTest_249 fit: 34900.0
FibonacciSearchProblemTest_251 fit: 34900.0
FibonacciSearchProblemTest_276 fit: 1.0
FibonacciSearchProblemTest_274 fit: 1.0
FibonacciSearchProblemTest_254 fit: 34900.0
FibonacciSearchProblemTest_271 fit: 1.0
FibonacciSearchProblemTest_268 fit: 10101.163
FibonacciSearchProblemTest_265 fit: 1.0
FibonacciSearchProblemTest_264 fit: 1.0
FibonacciSearchProblemTest_261 fit: 1.0
FibonacciSearchProblemTest_257 fit: 1.0
FibonacciSearchProblemTest_296 fit: 1.0
FibonacciSearchProblemTest_293 fit: 10100.874
FibonacciSearchProblemTest_291 fit: 1.0
FibonacciSearchProblemTest_288 fit: 1.0
FibonacciSearchProblemTest_287 fit: 1.0
FibonacciSearchProblemTest_285 fit: 1.0
FibonacciSearchProblemTest_282 fit: 10100.787
FibonacciSearchProblemTest_280 fit: 34900.0
FibonacciSearchProblemTest_313 fit: 1.0
FibonacciSearchProblemTest_300 fit: 34900.0
FibonacciSearchProblemTest_302 fit: 34900.0
FibonacciSearchProblemTest_303 fit: 34900.0
FibonacciSearchProblemTest_306 fit: 34900.0
FibonacciSearchProblemTest_308 fit: 34900.0
FibonacciSearchProblemTest_311 fit: 34900.0
FibonacciSearchProblemTest_336 fit: 1.0
FibonacciSearchProblemTest_334 fit: 1.0
FibonacciSearchProblemTest_332 fit: 34900.0
FibonacciSearchProblemTest_329 fit: 10101.163
FibonacciSearchProblemTest_327 fit: 1.0
FibonacciSearchProblemTest_318 fit: 34900.0
FibonacciSearchProblemTest_320 fit: 34900.0
FibonacciSearchProblemTest_321 fit: 34900.0
FibonacciSearchProblemTest_324 fit: 34900.0
FibonacciSearchProblemTest_367 fit: 1.0
FibonacciSearchProblemTest_365 fit: 34900.0
FibonacciSearchProblemTest_362 fit: 10101.037
FibonacciSearchProblemTest_357 fit: 1.0
FibonacciSearchProblemTest_354 fit: 10104.79
FibonacciSearchProblemTest_339 fit: 34900.0
FibonacciSearchProblemTest_341 fit: 34900.0
FibonacciSearchProblemTest_343 fit: 34900.0
FibonacciSearchProblemTest_348 fit: 34900.0
FibonacciSearchProblemTest_350 fit: 34900.0
FibonacciSearchProblemTest_391 fit: 1.0
FibonacciSearchProblemTest_389 fit: 10100.992
FibonacciSearchProblemTest_384 fit: 1.0
FibonacciSearchProblemTest_381 fit: 1.0
FibonacciSearchProblemTest_379 fit: 10100.542
FibonacciSearchProblemTest_376 fit: 10101.166
FibonacciSearchProblemTest_369 fit: 34900.0
FibonacciSearchProblemTest_371 fit: 34900.0
FibonacciSearchProblemTest_374 fit: 34900.0
FibonacciSearchProblemTest_411 fit: 10101.163
FibonacciSearchProblemTest_394 fit: 34900.0
FibonacciSearchProblemTest_396 fit: 34900.0
FibonacciSearchProblemTest_400 fit: 34900.0
FibonacciSearchProblemTest_406 fit: 34900.0
FibonacciSearchProblemTest_404 fit: 34900.0
FibonacciSearchProblemTest_408 fit: 34900.0
Generation: 2
FibonacciSearchProblemTest_448 fit: 34900.0
FibonacciSearchProblemTest_451 fit: 34900.0
FibonacciSearchProblemTest_452 fit: 34900.0
FibonacciSearchProblemTest_446 fit: 34900.0
FibonacciSearchProblemTest_449 fit: 34900.0
FibonacciSearchProblemTest_442 fit: 34900.0
FibonacciSearchProblemTest_443 fit: 34900.0
FibonacciSearchProblemTest_454 fit: 34900.0
FibonacciSearchProblemTest_461 fit: 34900.0
FibonacciSearchProblemTest_476 fit: 10101.045
FibonacciSearchProblemTest_470 fit: 34900.0
FibonacciSearchProblemTest_456 fit: 34900.0
FibonacciSearchProblemTest_475 fit: 34900.0
FibonacciSearchProblemTest_472 fit: 34900.0
FibonacciSearchProblemTest_455 fit: 34900.0
FibonacciSearchProblemTest_474 fit: 34900.0
FibonacciSearchProblemTest_478 fit: 34900.0
FibonacciSearchProblemTest_465 fit: 34900.0
FibonacciSearchProblemTest_469 fit: 34900.0
FibonacciSearchProblemTest_495 fit: 10100.99
FibonacciSearchProblemTest_494 fit: 1.0
FibonacciSearchProblemTest_493 fit: 1.0
FibonacciSearchProblemTest_492 fit: 3.3564355
FibonacciSearchProblemTest_488 fit: 1.0
FibonacciSearchProblemTest_480 fit: 10100.874
FibonacciSearchProblemTest_515 fit: 34900.0
FibonacciSearchProblemTest_513 fit: 1.0
FibonacciSearchProblemTest_509 fit: 1.0
FibonacciSearchProblemTest_507 fit: 1.0
FibonacciSearchProblemTest_505 fit: 100.57426
FibonacciSearchProblemTest_497 fit: 34900.0
FibonacciSearchProblemTest_499 fit: 34900.0
FibonacciSearchProblemTest_502 fit: 34900.0
FibonacciSearchProblemTest_504 fit: 34900.0
FibonacciSearchProblemTest_519 fit: 34900.0
FibonacciSearchProblemTest_521 fit: 34900.0
FibonacciSearchProblemTest_525 fit: 34900.0
FibonacciSearchProblemTest_528 fit: 34900.0
FibonacciSearchProblemTest_530 fit: 34900.0
FibonacciSearchProblemTest_535 fit: 34900.0
FibonacciSearchProblemTest_539 fit: 34900.0
FibonacciSearchProblemTest_545 fit: 34900.0
FibonacciSearchProblemTest_546 fit: 34900.0
FibonacciSearchProblemTest_548 fit: 34900.0
FibonacciSearchProblemTest_550 fit: 34900.0
FibonacciSearchProblemTest_553 fit: 34900.0
FibonacciSearchProblemTest_555 fit: 34900.0
FibonacciSearchProblemTest_570 fit: 1.0
FibonacciSearchProblemTest_558 fit: 34900.0
FibonacciSearchProblemTest_568 fit: 34900.0
FibonacciSearchProblemTest_566 fit: 10100.532
FibonacciSearchProblemTest_565 fit: 34900.0
FibonacciSearchProblemTest_563 fit: 1.0
FibonacciSearchProblemTest_561 fit: 1.0
FibonacciSearchProblemTest_560 fit: 34900.0
FibonacciSearchProblemTest_573 fit: 34900.0
FibonacciSearchProblemTest_574 fit: 34900.0
FibonacciSearchProblemTest_576 fit: 34900.0
FibonacciSearchProblemTest_580 fit: 34900.0
FibonacciSearchProblemTest_598 fit: 1.0
FibonacciSearchProblemTest_596 fit: 1.0
FibonacciSearchProblemTest_585 fit: 34900.0
FibonacciSearchProblemTest_595 fit: 10101.037
FibonacciSearchProblemTest_586 fit: 34900.0
FibonacciSearchProblemTest_593 fit: 34900.0
FibonacciSearchProblemTest_592 fit: 1.0
FibonacciSearchProblemTest_590 fit: 0.9653465
FibonacciSearchProblemTest_588 fit: 1.0
FibonacciSearchProblemTest_608 fit: 1.0
FibonacciSearchProblemTest_599 fit: 34900.0
FibonacciSearchProblemTest_601 fit: 34900.0
FibonacciSearchProblemTest_602 fit: 34900.0
FibonacciSearchProblemTest_605 fit: 34900.0
FibonacciSearchProblemTest_626 fit: 10100.874
FibonacciSearchProblemTest_623 fit: 34900.0
FibonacciSearchProblemTest_614 fit: 34900.0
FibonacciSearchProblemTest_620 fit: 10101.037
FibonacciSearchProblemTest_615 fit: 34900.0
FibonacciSearchProblemTest_619 fit: 1.0
FibonacciSearchProblemTest_616 fit: 34900.0
FibonacciSearchProblemTest_617 fit: 10100.787
FibonacciSearchProblemTest_648 fit: 1.0
FibonacciSearchProblemTest_647 fit: 4600.433
FibonacciSearchProblemTest_643 fit: 1.0
FibonacciSearchProblemTest_639 fit: 1.0
FibonacciSearchProblemTest_640 fit: 1.0
FibonacciSearchProblemTest_636 fit: 10101.213
FibonacciSearchProblemTest_634 fit: 34900.0
FibonacciSearchProblemTest_632 fit: 1.0
FibonacciSearchProblemTest_628 fit: 34900.0
FibonacciSearchProblemTest_665 fit: 34900.0
FibonacciSearchProblemTest_663 fit: 10100.8
FibonacciSearchProblemTest_650 fit: 34900.0
FibonacciSearchProblemTest_652 fit: 34900.0
FibonacciSearchProblemTest_680 fit: 4600.4307
FibonacciSearchProblemTest_676 fit: 10100.874
FibonacciSearchProblemTest_674 fit: 1.0
FibonacciSearchProblemTest_672 fit: 10101.139
FibonacciSearchProblemTest_667 fit: 34900.0
FibonacciSearchProblemTest_669 fit: 34900.0
Generation: 3
FibonacciSearchProblemTest_715 fit: 10100.381
FibonacciSearchProblemTest_713 fit: 34900.0
FibonacciSearchProblemTest_719 fit: 34900.0
FibonacciSearchProblemTest_722 fit: 34900.0
FibonacciSearchProblemTest_710 fit: 34900.0
FibonacciSearchProblemTest_724 fit: 34900.0
FibonacciSearchProblemTest_725 fit: 34900.0
FibonacciSearchProblemTest_712 fit: 34900.0
FibonacciSearchProblemTest_727 fit: 34900.0
FibonacciSearchProblemTest_728 fit: 34900.0
FibonacciSearchProblemTest_746 fit: 34900.0
FibonacciSearchProblemTest_744 fit: 34900.0
FibonacciSearchProblemTest_748 fit: 34900.0
FibonacciSearchProblemTest_736 fit: 34900.0
FibonacciSearchProblemTest_741 fit: 34900.0
FibonacciSearchProblemTest_740 fit: 34900.0
FibonacciSearchProblemTest_745 fit: 34900.0
FibonacciSearchProblemTest_731 fit: 34900.0
FibonacciSearchProblemTest_762 fit: 10000.436
FibonacciSearchProblemTest_759 fit: 34900.0
FibonacciSearchProblemTest_764 fit: 34900.0
FibonacciSearchProblemTest_763 fit: 34900.0
FibonacciSearchProblemTest_766 fit: 34900.0
FibonacciSearchProblemTest_765 fit: 34900.0
FibonacciSearchProblemTest_767 fit: 34900.0
FibonacciSearchProblemTest_768 fit: 34900.0
FibonacciSearchProblemTest_773 fit: 34900.0
FibonacciSearchProblemTest_774 fit: 4600.426
FibonacciSearchProblemTest_792 fit: 1.0247525
FibonacciSearchProblemTest_784 fit: 10101.188
FibonacciSearchProblemTest_791 fit: 10100.99
FibonacciSearchProblemTest_783 fit: 34900.0
FibonacciSearchProblemTest_787 fit: 1.0
FibonacciSearchProblemTest_786 fit: 34900.0
FibonacciSearchProblemTest_775 fit: 0.9727723
FibonacciSearchProblemTest_776 fit: 10101.163
FibonacciSearchProblemTest_785 fit: 34900.0
FibonacciSearchProblemTest_813 fit: 15500.797
FibonacciSearchProblemTest_795 fit: 34900.0
FibonacciSearchProblemTest_797 fit: 34900.0
FibonacciSearchProblemTest_801 fit: 34900.0
FibonacciSearchProblemTest_804 fit: 34900.0
FibonacciSearchProblemTest_806 fit: 34900.0
FibonacciSearchProblemTest_807 fit: 34900.0
FibonacciSearchProblemTest_835 fit: 10104.79
FibonacciSearchProblemTest_815 fit: 34900.0
FibonacciSearchProblemTest_817 fit: 34900.0
FibonacciSearchProblemTest_823 fit: 34900.0
FibonacciSearchProblemTest_825 fit: 34900.0
FibonacciSearchProblemTest_829 fit: 34900.0
FibonacciSearchProblemTest_831 fit: 34900.0
FibonacciSearchProblemTest_856 fit: 1.0
FibonacciSearchProblemTest_854 fit: 1.0915842
FibonacciSearchProblemTest_852 fit: 10100.874
FibonacciSearchProblemTest_849 fit: 34900.0
FibonacciSearchProblemTest_848 fit: 10101.045
FibonacciSearchProblemTest_837 fit: 34900.0
FibonacciSearchProblemTest_839 fit: 34900.0
FibonacciSearchProblemTest_845 fit: 1.0
FibonacciSearchProblemTest_841 fit: 34900.0
FibonacciSearchProblemTest_843 fit: 34900.0
FibonacciSearchProblemTest_877 fit: 10100.089
FibonacciSearchProblemTest_875 fit: 6.5742574
FibonacciSearchProblemTest_874 fit: 10100.874
FibonacciSearchProblemTest_870 fit: 4600.426
FibonacciSearchProblemTest_867 fit: 1.0
FibonacciSearchProblemTest_865 fit: 10100.874
FibonacciSearchProblemTest_862 fit: 1100.5693
FibonacciSearchProblemTest_860 fit: 10100.072
FibonacciSearchProblemTest_858 fit: 10100.173
FibonacciSearchProblemTest_895 fit: 0.9653465
FibonacciSearchProblemTest_892 fit: 1.0
FibonacciSearchProblemTest_890 fit: 4600.433
FibonacciSearchProblemTest_887 fit: 1.0
FibonacciSearchProblemTest_885 fit: 10100.95
FibonacciSearchProblemTest_879 fit: 10100.532
FibonacciSearchProblemTest_910 fit: 34900.0
FibonacciSearchProblemTest_897 fit: 34900.0
FibonacciSearchProblemTest_899 fit: 34900.0
FibonacciSearchProblemTest_903 fit: 34900.0
FibonacciSearchProblemTest_906 fit: 34900.0
FibonacciSearchProblemTest_907 fit: 34900.0
FibonacciSearchProblemTest_909 fit: 34900.0
FibonacciSearchProblemTest_927 fit: 10100.874
FibonacciSearchProblemTest_913 fit: 34900.0
FibonacciSearchProblemTest_923 fit: 10101.139
FibonacciSearchProblemTest_922 fit: 1.029703
FibonacciSearchProblemTest_919 fit: 100.57426
FibonacciSearchProblemTest_917 fit: 34900.0
FibonacciSearchProblemTest_929 fit: 34900.0
FibonacciSearchProblemTest_931 fit: 34900.0
FibonacciSearchProblemTest_935 fit: 34900.0
FibonacciSearchProblemTest_932 fit: 34900.0
FibonacciSearchProblemTest_933 fit: 34900.0
FibonacciSearchProblemTest_936 fit: 34900.0
FibonacciSearchProblemTest_938 fit: 34900.0
FibonacciSearchProblemTest_940 fit: 34900.0
FibonacciSearchProblemTest_941 fit: 34900.0
FibonacciSearchProblemTest_942 fit: 34900.0
FibonacciSearchProblemTest_963 fit: 10104.79
Generation: 4
FibonacciSearchProblemTest_983 fit: 1.0
FibonacciSearchProblemTest_993 fit: 1.0
FibonacciSearchProblemTest_989 fit: 10101.141
FibonacciSearchProblemTest_988 fit: 0.9653465
FibonacciSearchProblemTest_987 fit: 10101.163
FibonacciSearchProblemTest_984 fit: 10100.46
FibonacciSearchProblemTest_981 fit: 1.0
FibonacciSearchProblemTest_1011 fit: 10100.95
FibonacciSearchProblemTest_1009 fit: 1.0
FibonacciSearchProblemTest_1008 fit: 10100.874
FibonacciSearchProblemTest_1006 fit: 10100.089
FibonacciSearchProblemTest_1005 fit: 10101.062
FibonacciSearchProblemTest_996 fit: 34900.0
FibonacciSearchProblemTest_999 fit: 34900.0
FibonacciSearchProblemTest_1003 fit: 34900.0
FibonacciSearchProblemTest_1028 fit: 0.9653465
FibonacciSearchProblemTest_1026 fit: 34900.0
FibonacciSearchProblemTest_1024 fit: 1.0
FibonacciSearchProblemTest_1021 fit: 34900.0
FibonacciSearchProblemTest_1019 fit: 10100.099
FibonacciSearchProblemTest_1045 fit: 10100.178
FibonacciSearchProblemTest_1044 fit: 10100.052
FibonacciSearchProblemTest_1043 fit: 10100.455
FibonacciSearchProblemTest_1041 fit: 10100.8
FibonacciSearchProblemTest_1040 fit: 3.3564355
FibonacciSearchProblemTest_1038 fit: 3.3564355
FibonacciSearchProblemTest_1035 fit: 0.9653465
FibonacciSearchProblemTest_1032 fit: 9901.0
FibonacciSearchProblemTest_1030 fit: 10100.629
FibonacciSearchProblemTest_1046 fit: 34900.0
FibonacciSearchProblemTest_1051 fit: 34900.0
FibonacciSearchProblemTest_1054 fit: 34900.0
FibonacciSearchProblemTest_1056 fit: 34900.0
FibonacciSearchProblemTest_1057 fit: 34900.0
FibonacciSearchProblemTest_1059 fit: 34900.0
FibonacciSearchProblemTest_1061 fit: 34900.0
FibonacciSearchProblemTest_1082 fit: 34900.0
FibonacciSearchProblemTest_1063 fit: 34900.0
FibonacciSearchProblemTest_1081 fit: 1.0
FibonacciSearchProblemTest_1065 fit: 34900.0
FibonacciSearchProblemTest_1066 fit: 34900.0
FibonacciSearchProblemTest_1068 fit: 34900.0
FibonacciSearchProblemTest_1074 fit: 34900.0
FibonacciSearchProblemTest_1076 fit: 34900.0
FibonacciSearchProblemTest_1078 fit: 34900.0
FibonacciSearchProblemTest_1084 fit: 34900.0
FibonacciSearchProblemTest_1088 fit: 34900.0
FibonacciSearchProblemTest_1087 fit: 34900.0
FibonacciSearchProblemTest_1090 fit: 34900.0
FibonacciSearchProblemTest_1092 fit: 34900.0
FibonacciSearchProblemTest_1094 fit: 34900.0
FibonacciSearchProblemTest_1099 fit: 34900.0
FibonacciSearchProblemTest_1100 fit: 34900.0
FibonacciSearchProblemTest_1116 fit: 10100.874
FibonacciSearchProblemTest_1114 fit: 6500.4404
FibonacciSearchProblemTest_1104 fit: 34900.0
FibonacciSearchProblemTest_1105 fit: 34900.0
FibonacciSearchProblemTest_1107 fit: 34900.0
FibonacciSearchProblemTest_1110 fit: 10101.163
FibonacciSearchProblemTest_1131 fit: 1.0
FibonacciSearchProblemTest_1126 fit: 10000.436
FibonacciSearchProblemTest_1125 fit: 10101.114
FibonacciSearchProblemTest_1123 fit: 10101.163
FibonacciSearchProblemTest_1121 fit: 1.0
FibonacciSearchProblemTest_1145 fit: 10100.609
FibonacciSearchProblemTest_1144 fit: 34900.0
FibonacciSearchProblemTest_1143 fit: 34900.0
FibonacciSearchProblemTest_1138 fit: 10100.874
FibonacciSearchProblemTest_1136 fit: 100.57426
FibonacciSearchProblemTest_1135 fit: 10100.072
FibonacciSearchProblemTest_1134 fit: 10100.384
FibonacciSearchProblemTest_1132 fit: 10100.621
FibonacciSearchProblemTest_1161 fit: 10100.874
FibonacciSearchProblemTest_1146 fit: 34900.0
FibonacciSearchProblemTest_1148 fit: 34900.0
FibonacciSearchProblemTest_1150 fit: 34900.0
FibonacciSearchProblemTest_1153 fit: 34900.0
FibonacciSearchProblemTest_1154 fit: 34900.0
FibonacciSearchProblemTest_1155 fit: 34900.0
FibonacciSearchProblemTest_1159 fit: 34900.0
FibonacciSearchProblemTest_1183 fit: 10103.374
FibonacciSearchProblemTest_1182 fit: 34900.0
FibonacciSearchProblemTest_1166 fit: 34900.0
FibonacciSearchProblemTest_1178 fit: 1.0
FibonacciSearchProblemTest_1168 fit: 34900.0
FibonacciSearchProblemTest_1171 fit: 34900.0
FibonacciSearchProblemTest_1175 fit: 34900.0
FibonacciSearchProblemTest_1200 fit: 10100.874
FibonacciSearchProblemTest_1185 fit: 34900.0
FibonacciSearchProblemTest_1189 fit: 34900.0
FibonacciSearchProblemTest_1192 fit: 34900.0
FibonacciSearchProblemTest_1191 fit: 34900.0
FibonacciSearchProblemTest_1194 fit: 34900.0
FibonacciSearchProblemTest_1196 fit: 34900.0
FibonacciSearchProblemTest_1198 fit: 34900.0
FibonacciSearchProblemTest_1215 fit: 10100.8
FibonacciSearchProblemTest_1202 fit: 34900.0
FibonacciSearchProblemTest_1212 fit: 10101.213
FibonacciSearchProblemTest_1211 fit: 1.0
FibonacciSearchProblemTest_1208 fit: 10101.156
Generation: 5
FibonacciSearchProblemTest_1243 fit: 34900.0
FibonacciSearchProblemTest_1257 fit: 34900.0
FibonacciSearchProblemTest_1253 fit: 34900.0
FibonacciSearchProblemTest_1258 fit: 34900.0
FibonacciSearchProblemTest_1255 fit: 34900.0
FibonacciSearchProblemTest_1249 fit: 34900.0
FibonacciSearchProblemTest_1252 fit: 34900.0
FibonacciSearchProblemTest_1248 fit: 34900.0
FibonacciSearchProblemTest_1247 fit: 34900.0
FibonacciSearchProblemTest_1260 fit: 10100.178
FibonacciSearchProblemTest_1285 fit: 1.0
FibonacciSearchProblemTest_1282 fit: 100.57426
FibonacciSearchProblemTest_1281 fit: 10100.708
FibonacciSearchProblemTest_1278 fit: 4600.426
FibonacciSearchProblemTest_1279 fit: 34900.0
FibonacciSearchProblemTest_1276 fit: 34900.0
FibonacciSearchProblemTest_1269 fit: 34900.0
FibonacciSearchProblemTest_1268 fit: 34900.0
FibonacciSearchProblemTest_1259 fit: 34900.0
FibonacciSearchProblemTest_1287 fit: 34900.0
FibonacciSearchProblemTest_1294 fit: 10100.374
FibonacciSearchProblemTest_1292 fit: 100.4703
FibonacciSearchProblemTest_1290 fit: 34900.0
FibonacciSearchProblemTest_1309 fit: 10100.532
FibonacciSearchProblemTest_1306 fit: 0.9653465
FibonacciSearchProblemTest_1305 fit: 100.57426
FibonacciSearchProblemTest_1303 fit: 6.5742574
FibonacciSearchProblemTest_1302 fit: 34900.0
FibonacciSearchProblemTest_1295 fit: 34900.0
FibonacciSearchProblemTest_1324 fit: 10000.611
FibonacciSearchProblemTest_1314 fit: 34900.0
FibonacciSearchProblemTest_1312 fit: 34900.0
FibonacciSearchProblemTest_1323 fit: 10100.381
FibonacciSearchProblemTest_1316 fit: 34900.0
FibonacciSearchProblemTest_1320 fit: 6.5742574
FibonacciSearchProblemTest_1317 fit: 34900.0
FibonacciSearchProblemTest_1343 fit: 10101.037
FibonacciSearchProblemTest_1341 fit: 4600.433
FibonacciSearchProblemTest_1339 fit: 10100.455
FibonacciSearchProblemTest_1336 fit: 1.0
FibonacciSearchProblemTest_1334 fit: 3.3564355
FibonacciSearchProblemTest_1330 fit: 0.9653465
FibonacciSearchProblemTest_1328 fit: 1.0
FibonacciSearchProblemTest_1325 fit: 4600.433
FibonacciSearchProblemTest_1359 fit: 10100.787
FibonacciSearchProblemTest_1357 fit: 100.57426
